,0
9,ogive
9,glass
9,panes
9,light
9,four fingers
9,toe
9,square
9,triangle
9,land
9,rectangle
9,house
9,closed window
9,mud colour
9,tin roof
9,panels
9,face
9,round
9,metal/glass
9,decorative
9,border
9,roof
9,eave
9,shirt
9,stiff
9,branches
9,background
9,circular
9,house
9,protection
9,barn
9,wood
9,behind
9,clean
9,smart
9,outfit
9,collar
9,face
9,head
9,glass
9,decoration
9,face
9,man
9,man_s chin
9,old skin
9,wrinkled
9,barn
9,nose is a very important for life
9,organic
9,vase
9,decoration
9,woman_s nose
9,face
9,shape
9,average
9,organic
9,good
9,room
9,pattern
9,dark
9,male lips
9,stern
9,straight
9,closed
9,elderly
9,necklace
9,little
9,oval
9,eyes are see all things to and help more
9,post
9,column
9,porch post
9,vertical
9,decoration
9,usefull
9,essencial
9,strand
9,loose
9,blond
9,soft
9,female
9,eyeball
9,distant
9,sad.
9,pointy
9,three stems
9,plant pot
9,round
9,round
11,cobblestone street
11,bumpy
11,not smooth
11,rough walk
11,ground
11,silver
11,arch
11,tall
11,cobblestone
11,round
11,bumpy
11,old
11,distant
11,building
11,dark
11,home
11,house
11,rectangle
11,this is restaurant floor and peoples walk its concrete
11,background
11,dark
11,far away
11,distant
11,door
11,rectangle
11,round
11,shop window
11,distant
11,dark
11,chair
11,dining chair
11,near table
11,rectangle
11,4x4
11,door
11,restaurant
11,dining table
11,wood
11,open
11,window
11,male
11,30
11,at work
11,distant
11,panes
11,near table
11,shaded
11,glass
11,wood
11,open
11,window
11,walk
11,female
11,40
11,saree
11,wood
11,open
11,window
11,near table
11,dark
11,four-legs
11,tan
11,old
11,off
11,standing
11,near door
11,four-legs
11,walking
11,cross
11,wood
11,open
11,window
11,man standing in the restaurant little tall
11,dark
11,looming
11,shadow
11,person
11,seated
11,not detailed
11,abstract
11,sitting
11,red clothes
11,hat
11,table chair
11,four-legs
11,lit
11,night
11,sky
11,high
11,round
11,outdoor
11,wood
11,cafè
11,snow is blowing in the winter season very cold
11,round in shape
11,round
11,stars
11,night sky
11,shining
11,light
11,over the city
11,light on
11,distant
11,faint
11,night
17,woman man dog
17,appears pregnant
17,holding stomach
17,holding the woman_s hand
17,standing closest to the window
17,red velvet
17,old fashioned
17,folds
17,earthy
17,grainy
17,sewn
17,fabric
17,dress
17,open
17,window
17,light
17,clear
17,clothing
17,fabric
17,ornate
17,lighting
17,gold
17,brass
17,gold
17,gothic
17,hanging
17,heavy
17,shiny
17,straight
17,dress
17,bunched fabric
17,detailed
17,vivid
17,wood
17,patterned
17,dark
17,young
17,long-haired
17,long hair
17,terrier-like
17,smooth
17,on the man_s head
17,bed canopy
17,fabric
17,dark
17,gathered
17,woman_s belly
17,pregnant
17,baby bump
17,intimate
17,with child
17,on man_s head
17,floppy
17,heavy
17,dark
17,wooden appearance
17,room
17,handshake
17,man
17,women
17,circle in shape
17,ornate
17,relfecting
17,gold
17,wood
17,clear
17,clean
17,2 shoes
17,feminine
17,sandals
17,wooden
17,clogs
17,sandles
17,women_s sleeve
17,fur
17,long
17,hanging
17,dirty
17,elegant
17,expensive
17,bed post
17,wooden
17,tall.
17,lacy
17,detailed
17,woman_s head wear
17,high
17,stained glass window
17,circular pattern
17,heavy
17,sturdy
17,open
17,folded
17,wood
17,dark
17,rectangle
17,wood
17,fabric
17,cushion
17,dark
17,comfort
17,seated
17,satin
17,plumped
17,comfort
17,rug
17,patterned
17,hidden
17,dark
17,grainy
17,matte
17,body part
17,woman
17,graffiti
17,writing
17,script
17,wall mirror
17,shadow
17,man
17,women
17,mother
17,breastfeeding
17,pregnant
17,heat
17,measurement
17,temperature
17,man
17,body part
17,skin
17,back with light
17,man_s hand
17,graceful
17,female hand
17,flexed
17,resting
17,pale
17,long
17,hand
17,extended
17,female arm
17,wrinkled texture
17,on the floor
17,background
17,wood
17,gathered
17,holding dress
17,tight
17,head
17,face
17,woman
17,shoes
17,man
17,nose of man
17,woman
17,jewelry
17,neck
17,gold
17,lips
17,vision
17,circular
17,meek
17,sphere
17,face
17,body part
17,woman
17,pressed lips
17,female lips
17,low look
17,semi closed
17,taste
17,eat
17,tongue
17,low look
17,semi closed
17,smooth
17,circle
17,olfactory
17,circle
17,standing
18,woman with dark hair
18,naked
18,dark-haired
18,body
18,pale
18,creamy
18,female
18,naked
18,pale
18,long hair
18,brunnette
18,dark
18,distorted
18,body
18,body
18,indecent
18,naked
18,shameless
18,commando
18,liberated.
18,bent
18,flat
18,cubistic
18,surreal
18,long
18,straight
18,strong fingers
18,hand
18,pale
18,creased
18,soft
18,decency
18,protection
18,safety
18,feel comfortable
18,female
18,disproportionate
18,naked
18,dark
18,shadowed
18,visible armpit
18,female arm
18,natural looking
18,clenched fist
18,obtuse lines
18,female arm
18,dark
18,round
18,oblong
18,african
18,peach
18,woman
18,smooth
18,thin
18,muscular
18,fit
18,well-toned
18,active
18,dominant strength.
18,eyes wide open
18,oval
18,fruit
18,circles
18,woman
18,peach
18,cream
18,tame hair
18,beautiful
18,taken-care of hair
18,straight hair
18,peach
18,smooth
18,woman
18,naked
18,female
18,smooth texture
18,contrasted
18,conspicuous
18,nude
18,finger
18,dark
18,dark
18,smooth
18,pale
18,messy texture
18,round
18,stylized
18,long
18,narrow
18,human ear
18,skin
18,face(nose)
18,eye
18,see
18,vision
18,circular
18,round
18,big
18,shook
18,in awe
18,screaming
18,wide-mouthed
18,embarrased
18,nose
18,dark
18,eye
18,stylized
18,profile
18,flat nosed
18,art missed her nose
18,unique art
18,2-d drawing
18,eye
18,clear
18,visible
18,distorted
18,long
18,sharp
18,pointy
18,human
18,nose
18,skin
18,clear
18,dark
18,slightly oppened
18,closed
18,closed
