,img_name,worker_id,img_desc
90,18.jpg,A2HC04434S9TP0,"Women, surprise, dancing, posing , unhappy"
91,18.jpg,A2MOY7J4GG5CW8,"light colors, sharp edges, figures, modern, vertical"
92,18.jpg,A2NVNFIOKLEEGY,"face
hand
leg
rock
hair"
93,18.jpg,A34CLFMP19G4NU,"five women, naked, pale, flat faces, masks, prostitutes"
94,18.jpg,A396GA8SHS2L41,"scandalous, nudist, disproportional, bizarre, impressive "
96,18.jpg,A3AW2HADUSB7JD,"group, sexual, nudity, abstract, human, expressive, impressive, neutral, natural
"
98,18.jpg,A3KO36PYNA5IHQ,"Weird, historic, drunk artist, weird shapes, 2d"
99,18.jpg,A3TAM79PCXOLXI,"abstract, females, naked, body distortion, weird, mash-up"
104,18.jpg,A685WMI1QRZHE,"ROCK
"
105,18.jpg,AD4JF27PRR61,"cavemen, naked, humans, posing, drawing"
108,18.jpg,AFRSASN33QBC3,"actual, simulated, abstract, and invented texture."
110,18.jpg,AIN29LNXRARXY,"women, naked, full-length portrait, stylized, grapes"
111,2.jpg,A1CJ8CLM7987EQ,"night, breeze, oil, colourful, bold"
112,2.jpg,A1X9BD3KDIA2QB,
114,2.jpg,A2CO8IM74HLYTL,"A big tree on the left side with houses, stars and the mmon"
115,2.jpg,A2E9KS4RK6T8CW,"interesting, beautiful, wonderful, awesome, the best"
116,2.jpg,A2HC04434S9TP0,"Sun, Church, City, Dark, Night, trees"
117,2.jpg,A2M3QMJC99DERS,"night, swirls, starry, van gogh, blue, moon"
118,2.jpg,A2MOY7J4GG5CW8,"turbulent, night, thick brush strokes, fluid, rural, "
119,2.jpg,A2NVNFIOKLEEGY,"moon
sky
house
mountain
wind"
120,2.jpg,A2OMYDY8G8PNJE,
122,2.jpg,A2RMR0ZSQ575XZ,
123,2.jpg,A396GA8SHS2L41,"astounding, strange, fluidic, beautiful, dream, night"
125,2.jpg,AC9P9SHL0IXBL,Nighttime landscape with illuminated village
126,2.jpg,AIN29LNXRARXY,
127,2.jpg,AOV97Z3YMKLAQ,"sky, moonlight, sphere, greenish, abstract"
128,4.jpg,A1CJ8CLM7987EQ,
129,4.jpg,A1FC701BZE1HZM,right side a picture of a women looking at the camera
130,4.jpg,A1NZ4C0GO5HS87,the high end equivalent of today's professional portrait
133,4.jpg,A1QC6WNXRWWPCC,"ear, right eye, nose, dress"
136,4.jpg,A2F9FURICZCOY3,Cute Girl
137,4.jpg,A2HC04434S9TP0,"girl, dark background, expression, face, looks"
138,4.jpg,A2M3QMJC99DERS,"young woman, portrait, scarf, pearl earring, headscarf"
139,4.jpg,A2MDR0R3KTYTGV,"beautiful, dark, somber, interesting, poignant, searching"
140,4.jpg,A2NVNFIOKLEEGY,"eyes
nose
dress
face
head"
141,4.jpg,A300NSYGWVGOMM,"Girl, headscarf, pearl, earring, enigmatic"
143,4.jpg,A3RQVHWHESFK4D,"girl, looking over shoulder, smiling, young, head scarf"
144,4.jpg,AIN29LNXRARXY,"earring, portrait, pearl, seventeenth century, Vermeer"
145,4.jpg,AOV97Z3YMKLAQ,"face, girl, painting, photo, blond"
147,4.jpg,AVDWQ1G129G4D,"women,looking front.sideview,with cloth on her hair"
148,4.jpg,lpriyamvada@gmail.com,
149,5.jpg,:%20COPIEDA3UMDMF589FDPZ,"light,window,man,women,horse,candle,toe"
151,5.jpg,A1GUNTMI2Y61IW,"Animals suffering, people screaming, Fire, horror, dead and mutilated people, suffering, agony "
152,5.jpg,A1STWPAYOSCOSH,"ominous, dark, foreboding, chaotic, mysterious, sadness, pain, torture, "
153,5.jpg,A1X9BD3KDIA2QB,"abstract, confuse, expression,caos,life"
154,5.jpg,A25OEEJDN7EGJE,painful; sad; multiform; evocative; upsetting
155,5.jpg,A2HC04434S9TP0,"ghosts, hands, legs, harms war, fight, dark, surprise, suffering, sword, room"
156,5.jpg,A2NVNFIOKLEEGY,"ear
nose
leg
eyes
hand"
157,5.jpg,A396GA8SHS2L41,"Bold, impressive, dramatic, chaotic, terrific, scandalous, astounding, provocative"
161,5.jpg,A3ISOGMY4IZJQ8,"chaotic, abstract, suffering, worried, agony"
162,5.jpg,A9C41TYGHOSWI,"Chaotic, terror, confusion, anger, fear"
163,5.jpg,AIN29LNXRARXY,
164,5.jpg,ARZ9KWKL0P8ND,"Surreal, mixed media, collage, black & white, chaotic"
165,5.jpg,WorkerIDA13JDB1LY9ZTQY,"chaotic, violent, grayscale, distorted, strange"
166,5.jpg,WorkerIDA2HCPK7302F0V6,"disturbing,dark,death,fear, despair"
167,5.jpg,ZCgDVlkp5,"Abstract, mis-matched, jumbled, messy, random"
168,9.jpg,%20COPIEDA3UMDMF589FDPZ,"jacket,window,sky,fork,pinafore"
169,9.jpg,A1CJ8CLM7987EQ,"people, stoic, house, wooden, pitchfork"
170,9.jpg,A1X9BD3KDIA2QB,"couple, famr, marriage"
171,9.jpg,A2C8QIT0DJRCHN,Many experience to drawing this 
172,9.jpg,A2E9KS4RK6T8CW,"awesome, interesting, beautiful,great, lovely"
173,9.jpg,A2HC04434S9TP0,"couple, land, workers, house, serious"
174,9.jpg,A2M3QMJC99DERS,"couple, farmer, pitchfork, house, old"
175,9.jpg,A2NVNFIOKLEEGY,"eyes
nose
window
hand
house"
176,9.jpg,A2OMYDY8G8PNJE,
178,9.jpg,A3168WVUAPEYY,"american gothic, couple, farmers, pitchfork, overalls, dress"
180,9.jpg,A3CPXID0CCAPS0,"couple, farm, old house, old man, old clothes"
181,9.jpg,AIN29LNXRARXY,"farm house, wife, husband, rural life, gothic, twentieth century"
182,9.jpg,AOV97Z3YMKLAQ,"farm, barn, couple, painting, famous"
183,9.jpg,ZCgDVlkp5,"stern couple, pitchfork, outside their home, strict, male and female."
